ID#,Marca,Potencia (cv),Puertas,Combustible,CO2,Precio (€),Tracción,Transmisión,Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Carrocería,Peso (kg),Largo (mm),Ancho (mm),Alto (mm)
33,Alfa Romeo,0.13909544124257164,5.0,Diésel,ambar,0.09396614945874628,Tracción trasera,Automática secuencial ,0.026382249580999786,-0.035192156396712346,-0.18760331774822636,0.0,0.41070770837794535,-0.18077256453938337,0.9538199995935034,0.29927168303305174,-0.7948995102963724,-1.0093993782411845,0.9055798254344435,Todo Terreno ,0.13208125200157605,0.016006667953198023,0.26120406121726386,-0.12393122868095326
34,Alfa Romeo,0.24544758309117706,5.0,Gasolina,ambar,0.15547404725098118,Tracción total,Automática secuencial ,0.49593201265951103,-0.5310114735021426,0.7258251879182492,0.0,0.1996136903385505,0.2564492838896078,0.9538199995935034,0.4571260810824139,-0.9519227894345131,0.00025038812991090825,0.0183474719159697,Todo Terreno ,0.13208125200157605,0.016006667953198023,0.26120406121726386,-0.12393122868095326
35,Alfa Romeo,0.13909544124257164,5.0,Diésel,ambar,0.17398260327658652,Tracción total,Automática secuencial ,0.19712761797318568,-0.23169538649767102,0.015380794622101311,0.0,0.41070770837794535,-0.18077256453938337,0.9538199995935034,0.29927168303305174,-0.7948995102963724,-1.0093993782411845,0.9055798254344435,Todo Terreno ,0.3855587263196202,0.016006667953198023,0.26120406121726386,-0.12393122868095326
36,Alfa Romeo,0.3517997249397825,5.0,Diésel,ambar,0.29319753467722665,Tracción total,Automática secuencial ,0.19712761797318568,-0.23169538649767102,0.015380794622101311,0.0,0.41070770837794535,-0.18077256453938337,0.9538199995935034,0.4571260810824139,-1.1874577081417248,-1.0093993782411845,1.0534518843541891,Todo Terreno ,0.3855587263196202,0.016006667953198023,0.26120406121726386,-0.12393122868095326
37,Alfa Romeo,0.3517997249397825,5.0,Diésel,ambar,0.31355694630539255,Tracción total,Automática secuencial ,0.19712761797318568,-0.23169538649767102,0.015380794622101311,0.0,0.41070770837794535,-0.18077256453938337,0.9538199995935034,0.4571260810824139,-1.1874577081417248,-1.0093993782411845,1.0534518843541891,Todo Terreno ,0.3855587263196202,0.016006667953198023,0.26120406121726386,-0.12393122868095326
38,Alfa Romeo,1.0962647178800204,5.0,Gasolina,ambar,0.3962174795554621,Tracción total,Automática secuencial ,0.45324567056146453,-0.5310114735021426,0.7258251879182492,0.0,0.1996136903385505,0.2564492838896078,0.9538199995935034,0.9306892752305006,-1.540760086202542,0.7574877129082325,0.5358996781350794,Todo Terreno ,0.13208125200157605,0.016006667953198023,0.26120406121726386,-0.12393122868095326
39,Alfa Romeo,1.0962647178800204,5.0,Gasolina,ambar,0.416576891183628,Tracción total,Automática secuencial ,0.45324567056146453,-0.5310114735021426,0.7258251879182492,0.0,0.1996136903385505,0.2564492838896078,0.9538199995935034,0.9306892752305006,-1.540760086202542,0.7574877129082325,0.5358996781350794,Todo Terreno ,0.13208125200157605,0.016006667953198023,0.26120406121726386,-0.12393122868095326
48,Audi,-0.8712499063191799,5.0,Gasolina,verde,-0.5814308905113345,Tracción delantera,Manual ,-0.6352560529387206,-0.64122093881598,-0.4920794863037185,24.0,-1.2209919986292688,-1.492438109826357,-0.9532167741953288,-0.30057502955452475,0.46128672280875577,0.5050752713154586,-1.127660984712059,Berlina ,-1.3440522749093868,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
49,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.5414391890988658,Tracción delantera,Manual ,-0.5925697108406741,-0.7307199005809085,-0.39058743011855446,24.0,-1.2209919986292688,-1.492438109826357,-0.3175378495990514,0.07827552576394461,-0.049038934390202675,0.5050752713154586,-0.9428209110623769,Berlina ,-1.2993209559120849,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
50,Audi,-0.8712499063191799,5.0,Gasolina,verde,-0.5350272964757097,Tracción delantera,Manual ,-0.6352560529387206,-0.64122093881598,-0.4920794863037185,24.0,-1.2209919986292688,-1.492438109826357,-0.9532167741953288,-0.30057502955452475,0.46128672280875577,0.5050752713154586,-1.127660984712059,Berlina ,-1.3440522749093868,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
51,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.49503559506324096,Tracción delantera,Manual ,-0.5498833687426277,-0.7307199005809085,-0.39058743011855446,24.0,-1.2209919986292688,-1.492438109826357,-0.3175378495990514,0.07827552576394461,-0.049038934390202675,0.5050752713154586,-0.9428209110623769,Berlina ,-1.2993209559120849,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
52,Audi,-0.8712499063191799,5.0,Gasolina,verde,-0.49196185272327436,Tracción delantera,Manual ,-0.6352560529387206,-0.64122093881598,-0.4920794863037185,24.0,-1.2209919986292688,-1.492438109826357,-0.9532167741953288,-0.30057502955452475,0.46128672280875577,0.5050752713154586,-1.127660984712059,Berlina ,-1.3440522749093868,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
53,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.4793033224414764,Tracción delantera,Automática secuencial ,-0.5498833687426277,-0.7307199005809085,-0.39058743011855446,24.0,-1.2209919986292688,-1.492438109826357,0.31814107499722605,0.07827552576394461,-0.08829475417473778,0.5050752713154586,-0.9428209110623769,Berlina ,-1.2396791972490158,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
