ID#,Potencia (cv),Puertas,Precio (€),Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Peso (kg),Largo (mm),Ancho (mm),Alto (mm),Marca_Alfa Romeo,Marca_Audi,Marca_Bmw,Marca_Citroen,Marca_Cupra,Marca_Dacia,Marca_Ds,Marca_Fiat,Marca_Ford,Marca_Honda,Marca_Hyundai,Marca_Jaguar,Marca_Jeep,Marca_Kia,Marca_Land Rover,Marca_Lexus,Marca_Mazda,Marca_Mercedes,Marca_Mini,Marca_Mitsubishi,Marca_Morgan,Marca_Nissan,Marca_Opel,Marca_Peugeot,Marca_Porsche,Marca_Renault,Marca_Seat,Marca_Skoda,Marca_Subaru,Marca_Suzuki,Marca_Toyota,Marca_Volkswagen,Marca_Volvo,Combustible_Diésel,Combustible_Gasolina,Combustible_Híbrido,CO2_gris,CO2_rojo,CO2_verde,Tracción_Tracción total,Tracción_Tracción trasera,Transmisión_Automática continua ,"Transmisión_Automática continua, secuencial ",Transmisión_Automática secuencial ,Transmisión_Manual ,Transmisión_Manual automatizada ,Transmisión_Manual con subgrupos ,Carrocería_Bus ,Carrocería_Chasis ,Carrocería_Chasis Doble Cabina ,Carrocería_Combi ,Carrocería_Convertible ,Carrocería_Coupe ,Carrocería_Furgon ,Carrocería_Monovolumen ,Carrocería_Pick-Up ,Carrocería_Pick-Up Doble Cabina ,Carrocería_Roadster ,Carrocería_Stationwagon ,Carrocería_Todo Terreno 
17,180,3.0,33484.0,158.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,1110.0,3660.0,1627.0,1485.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,180,3.0,34534.0,155.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,1045.0,3660.0,1627.0,1485.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,180,2.0,35384.0,159.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,1150.0,3660.0,1627.0,1485.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,180,3.0,36484.0,155.0,583.3,6.0,0.0,1368.0,35.0,5,225.0,6.7,5500.0,250.0,1045.0,3660.0,1627.0,1485.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,160,4.0,34075.0,126.0,1106.4,4.7,24.0,2143.0,52.0,8,220.0,8.2,3250.0,450.0,1465.0,4643.0,1860.0,1438.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,200,4.0,34954.0,144.0,906.3,6.4,24.0,1995.0,58.0,8,230.0,6.6,4500.0,330.0,1429.0,4643.0,1860.0,1438.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,200,4.0,39398.0,144.0,906.3,6.4,24.0,1995.0,58.0,8,230.0,6.6,4500.0,330.0,1429.0,4643.0,1860.0,1438.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,190,4.0,39838.0,127.0,1130.4,4.6,24.0,2143.0,52.0,8,230.0,7.1,3500.0,450.0,1465.0,4643.0,1860.0,1438.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,210,4.0,45642.0,137.0,1000.0,5.2,24.0,2143.0,52.0,8,235.0,6.8,3500.0,470.0,1540.0,4643.0,1860.0,1438.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,280,4.0,48141.0,154.0,840.6,6.9,24.0,1995.0,58.0,8,240.0,5.2,5250.0,400.0,1530.0,4650.0,1860.0,1438.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
